PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX
UNIVERSITAS INDONESIA,3211015,PENDIDIKAN DOKTER,74793,1963,72438,79855
UNIVERSITAS AIRLANGGA,3811014,PENDIDIKAN DOKTER,72694,2129,70254,80801
UNIVERSITAS PADJADJARAN,3331013,PENDIDIKAN DOKTER,71794,1869,69417,78052
UNIVERSITAS GADJAH MADA,3611066,KEDOKTERAN,72521,2708,68905,80984
UNIVERSITAS INDONESIA,3211166,ILMU KOMPUTER,71241,2413,68596,79866
UNIVERSITAS DIPONEGORO,3551027,KEDOKTERAN,70946,1805,68577,77048
INSTITUT TEKNOLOGI BANDUNG,3321073,SEKOLAH TEK. ELEKTRO & INFORMATIKA (STEI),71669,2324,68445,79831
UNIVERSITAS BRAWIJAYA,3721085,PENDIDIKAN DOKTER,70459,1739,68285,7694
UNIVERSITAS INDONESIA,3211313,AKTUARIA,71632,2935,68172,78233
INSTITUT TEKNOLOGI BANDUNG,3321081,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS GANESA,71097,2327,68099,7721
UNIVERSITAS SEBELAS MARET,3531015,KEDOKTERAN,70121,1617,68023,76285
INSTITUT TEKNOLOGI BANDUNG,3321096,FAKULTAS TEKNIK MESIN & DIRGANTARA (FTMD),71029,2481,67694,78542
UNIVERSITAS JENDERAL SOEDIRMAN,3511107,PENDIDIKAN DOKTER,68884,1119,67534,721
UNIVERSITAS JEMBER,3711133,PENDIDIKAN DOKTER,68827,1298,67473,73502
UNIVERSITAS UDAYANA,6111014,PENDIDIKAN DOKTER,69151,1788,67404,75471
UNIVERSITAS GADJAH MADA,3611194,STATISTIKA,68841,1674,66968,74011
UNIVERSITAS GADJAH MADA,3611503,ILMU AKTUARIA,68555,1822,66553,73255
INSTITUT TEKNOLOGI BANDUNG,3321042,FAKULTAS TEKNIK SIPIL & LINGKUNGAN (FTSL) - KAMPUS GANESA,69377,2262,66504,76528
INSTITUT TEKNOLOGI BANDUNG,3321107,SEK. ARSITEKTUR. PERENC & PENGEMB KEBIJAKAN,69339,2245,66466,75092
